Species,SocialMatingSystem,Monopolization,FemalesPerMaleInBreedingGroup,MalesPerBreedingGroup,SocialGroupSize,MaleBodyMass(SSDDataset).in.g,FemaleBodyMass(SSDDataset).in.g,SexualSizeDimorphism,MaleCanineHeight.in.mm,FemaleCanineHeight.in.mm,SexualCanineDimorphism,MaleBodyMass(CanineDataset).in.g,CombinedTestesMass.in.g,MaleBodyMass(TestesDataset).in.g,meanMaleBodyMass.in.g,HeadFlesh,HeadSkin,HeadHair,BodyFlesh,BodySkin,BodyHair,BodyPelageDichrom,GenitalFlesh,GenitalSkin,GenitalHair,SexualOrnamentDimorphism (ExcludingDichromatism),SexualOrnamentDimorphism,TotalOrnamentDimorphism(PreviouslyPublished),OrnamentDescription,CladeForMale-specificOrnamentation,Intra-cladeDavid'sScoreMale-specificOrnamentation,References,Comments
Cercopithecus erythrogaster,Polygynous,Yes,,,6,4100,2400,1.708,16.67,9.42,1.77,4100,,,4100,0,0,0,0,0,0,0,0,0,0,0,0,0,,Arboreal Cercophithecus,-8.067,4-Jan,
Cercopithecus lhoesti,Polygynous,Yes,,,23.5,5970,3450,1.73,19.93,10.82,1.842,5970,,,5970,0,0,0,0,0,0,0,0,1,0,1,1,4,Scrotum is light blue (4),Terrestrial Cercophithecus,-0.5,"2.4, 6",
Cercopithecus mitis,Polygynous,Yes,3.7,1,23.9,7930,4250,1.866,19.47,10.5,1.854,7930,,,7930,0,0,0,0,0,0,0,0,1,0,1,1,2,Male genitals slightly bluish (2),Arboreal Cercophithecus,-4.125,"2-4, 6, 8",
Cercopithecus mona,Polygynous,Yes,,,9.8,4768,3700,1.289,17.76,9.32,1.906,4770,,,4769,0,0,0,0,0,0,0,0,0,0,0,0,0,,Arboreal Cercophithecus,3.392,"2, 4, 6, 16",
Cercopithecus neglectus,Polygynous,Yes,,,9.2,7350,4130,1.78,20.68,11.64,1.777,7350,,,7350,0,0,0,0,0,0,0,0,1,0,1,1,3,Male has a blue scrotum (3),Arboreal Cercophithecus,21.817,"2.4, 6",
Cercopithecus nictitans,Polygynous,Yes,,,12,6670,4260,1.566,18.1,11.22,1.613,6670,,,6670,0,0,0,0,0,0,0,0,0,0,0,0,0,,Arboreal Cercophithecus,1.008,"2.4, 6",
Cercopithecus petaurista,Polygynous,Yes,,,10.7,4400,2900,1.517,16.16,9.09,1.778,4400,,,4400,0,0,0,0,0,0,0,0,0,0,0,0,0,,Arboreal Cercophithecus,-0.458,"2.4, 6",
Cercopithecus pogonias,Polygynous,Yes,,,11.7,4260,2900,1.469,16.22,9.28,1.748,4260,,,4260,0,0,0,0,0,0,0,0,0,0,0,0,0,,Arboreal Cercophithecus,-4.95,"2.4, 6",
Cercopithecus wolfi,Polygynous,Yes,,,12,3910,2870,1.362,18.06,9.59,1.883,3910,5.35,5380,4400,0,0,0,0,0,0,0,0,1,0,1,1,3,Male has a blue scrotum (3),Arboreal Cercophithecus,5.775,"3, 4, 13, 17, 18",
Cheirogaleus medius,Polygynous,Yes,,1,5.5,283,282,1,3.75,3.98,0.942,280,1.12,220,261,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,"3, 4, 7, 8, 13, 19",
